Date : 2020-07-28 13:36:27
Directory : c:\FILES\CURVE\curve
Total : 1534 files,  263355 codes, 82397 comments, 53346 blanks, all 399098 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_mds.yml                                    | YAML             |          7 |         15 |          2 |         24 |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_nebd.yml                                   | YAML             |          7 |         15 |          3 |         25 |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_snapshotcloneserver.yml                    | YAML             |          7 |         15 |          1 |         23 |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_snapshotcloneserver_nginx.yml              | YAML             |         13 |         15 |          2 |         30 |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\main.yml                                                 | YAML             |          3 |         16 |          2 |         21 |
| c:\FILES\CURVE\curve\curve-ansible\roles\start_service\vars\main.yml                                                  | YAML             |          2 |         15 |          2 |         19 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_chunkserver.yml                                                     | YAML             |         42 |         20 |          7 |         69 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_curve.yml                                                           | YAML             |          7 |         17 |          5 |         29 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_curve_sdk.yml                                                       | YAML             |         12 |         18 |          3 |         33 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_etcd.yml                                                            | YAML             |         37 |         21 |          8 |         66 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_mds.yml                                                             | YAML             |         50 |         20 |          7 |         77 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_nbd.yml                                                             | YAML             |         10 |         17 |          3 |         30 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_nebd.yml                                                            | YAML             |         38 |         22 |          7 |         67 |
| c:\FILES\CURVE\curve\curve-ansible\rolling_update_snapshotclone.yml                                                   | YAML             |         46 |         21 |          7 |         74 |
| c:\FILES\CURVE\curve\curve-ansible\server.ini                                                                         | Ini              |        102 |          0 |         12 |        114 |
| c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\chunkserver_ctl.sh                                                    | Shell Script     |        291 |         28 |         24 |        343 |
| c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\chunkserver_deploy.sh                                                 | Shell Script     |        227 |         34 |         19 |        280 |
| c:\FILES\CURVE\curve\curve-chunkserver\home\nbs\disk_uuid_repair.py                                                   | Python           |        154 |         37 |         35 |        226 |
| c:\FILES\CURVE\curve\curve-mds\home\nbs\etcd-daemon.sh                                                                | Shell Script     |        137 |         41 |         28 |        206 |
| c:\FILES\CURVE\curve\curve-mds\home\nbs\mds-daemon.sh                                                                 | Shell Script     |        205 |         48 |         35 |        288 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\etc\config.lua                                               | Lua              |         24 |         17 |         13 |         54 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\argutils.lua                                       | Lua              |        187 |          4 |         43 |        234 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups.lua                                       | Lua              |          2 |          1 |          3 |          6 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\api.lua                                   | Lua              |        246 |          6 |         68 |        320 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\base.lua                                  | Lua              |        302 |          4 |         62 |        368 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\consistent_hash.lua                       | Lua              |         73 |          2 |         25 |        100 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\dyconfig.lua                              | Lua              |        232 |          2 |         57 |        291 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\heartbeat.lua                             | Lua              |        385 |          1 |         94 |        480 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\round_robin.lua                           | Lua              |         49 |          5 |         19 |         73 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\checkups\try.lua                                   | Lua              |        182 |         18 |         49 |        249 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\lib\resty\uuid.lua                                           | Lua              |        160 |        140 |         41 |        341 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\init.lua                                                 | Lua              |          5 |         14 |          3 |         22 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\init_worker.lua                                          | Lua              |          6 |         14 |          5 |         25 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\httpipe.lua                                      | Lua              |        725 |         38 |        202 |        965 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\httproxy.lua                                     | Lua              |        294 |         11 |         88 |        393 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\reqlimit.lua                                     | Lua              |         61 |          2 |         21 |         84 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\modules\utils.lua                                        | Lua              |        169 |         25 |         58 |        252 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\app\src\snapshot.lua                                             | Lua              |          2 |         14 |          3 |         19 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\conf\nginx.conf                                                  | Properties       |         60 |          3 |         21 |         84 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver-nginx\docker\Dockerfile                                                | Dockerfile       |         42 |          9 |         12 |         63 |
| c:\FILES\CURVE\curve\curve-snapshotcloneserver\home\nbs\snapshot-daemon.sh                                            | Shell Script     |        205 |         48 |         35 |        288 |
| c:\FILES\CURVE\curve\curvefs_python\__init__.py                                                                       | Python           |          1 |         16 |          3 |         20 |
| c:\FILES\CURVE\curve\curvefs_python\cbd_client.cpp                                                                    | C++              |        103 |         20 |         36 |        159 |
| c:\FILES\CURVE\curve\curvefs_python\cbd_client.h                                                                      | C++              |         39 |         23 |         19 |         81 |
| c:\FILES\CURVE\curve\curvefs_python\client.conf                                                                       | Properties       |         10 |         33 |          6 |         49 |
| c:\FILES\CURVE\curve\curvefs_python\configure.sh                                                                      | Shell Script     |         24 |         16 |         10 |         50 |
| c:\FILES\CURVE\curve\curvefs_python\curve_type.h                                                                      | C++              |         74 |         46 |         16 |        136 |
| c:\FILES\CURVE\curve\curvefs_python\curvefs.i                                                                         | C                |         12 |          0 |          2 |         14 |
| c:\FILES\CURVE\curve\curvefs_python\curvefs.py                                                                        | Python           |        380 |         21 |         69 |        470 |
| c:\FILES\CURVE\curve\curvefs_python\curvefs_tool.py                                                                   | Python           |         47 |         20 |          8 |         75 |
| c:\FILES\CURVE\curve\curvefs_python\curvefs_wrap.cxx                                                                  | C++              |      6,444 |        458 |        726 |      7,628 |
| c:\FILES\CURVE\curve\curvefs_python\libcurvefs.h                                                                      | C++              |         37 |         23 |         14 |         74 |
| c:\FILES\CURVE\curve\curvefs_python\parser.py                                                                         | Python           |         38 |         25 |         14 |         77 |
| c:\FILES\CURVE\curve\curvefs_python\setup.py                                                                          | Python           |         11 |         16 |          4 |         31 |
| c:\FILES\CURVE\curve\curvefs_python\test.py                                                                           | Python           |         23 |         17 |          6 |         46 |
| c:\FILES\CURVE\curve\curvesnapshot_python\__init__.py                                                                 | Python           |          0 |          0 |          1 |          1 |
| c:\FILES\CURVE\curve\curvesnapshot_python\client.conf                                                                 | Properties       |         10 |         33 |          6 |         49 |
| c:\FILES\CURVE\curve\curvesnapshot_python\configure.sh                                                                | Shell Script     |         18 |         16 |         10 |         44 |
| c:\FILES\CURVE\curve\curvesnapshot_python\curvesnapshot.py                                                            | Python           |        614 |         21 |        131 |        766 |
| c:\FILES\CURVE\curve\curvesnapshot_python\libcurveSnapshot.cpp                                                        | C++              |        346 |         45 |         52 |        443 |
| c:\FILES\CURVE\curve\curvesnapshot_python\libcurveSnapshot.h                                                          | C++              |        118 |        116 |         22 |        256 |
| c:\FILES\CURVE\curve\curvesnapshot_python\libcurve_snapshot.i                                                         | C                |         12 |          0 |          4 |         16 |
| c:\FILES\CURVE\curve\curvesnapshot_python\libcurve_snapshot_wrap.cxx                                                  | C++              |     12,129 |        494 |      1,380 |     14,003 |
| c:\FILES\CURVE\curve\curvesnapshot_python\test.py                                                                     | Python           |         43 |         17 |         13 |         73 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\start_chunkservers_locally.sh                                           | Shell Script     |         15 |         18 |          6 |         39 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\start_chunkservers_locally_docker1.sh                                   | Shell Script     |          5 |         18 |          4 |         27 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\start_chunkservers_locally_docker2.sh                                   | Shell Script     |          5 |         18 |          4 |         27 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\start_chunkservers_locally_docker3.sh                                   | Shell Script     |          5 |         18 |          4 |         27 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\start_chunkservers_locally_docker4.sh                                   | Shell Script     |          5 |         18 |          4 |         27 |
| c:\FILES\CURVE\curve\deploy\local\chunkserver\stop_chunkservers_locally.sh                                            | Shell Script     |          1 |         16 |          3 |         20 |
| c:\FILES\CURVE\curve\deploy\local\test\start_multicopyset_io_test.sh                                                  | Shell Script     |         12 |         21 |          4 |         37 |
| c:\FILES\CURVE\curve\docs\cn\build_and_run.md                                                                         | Markdown         |         63 |          0 |         40 |        103 |
| c:\FILES\CURVE\curve\docs\cn\chunkserver_design.md                                                                    | Markdown         |        120 |          0 |        103 |        223 |
| c:\FILES\CURVE\curve\docs\cn\deploy.md                                                                                | Markdown         |        470 |          0 |         87 |        557 |
| c:\FILES\CURVE\curve\docs\cn\mds.md                                                                                   | Markdown         |         71 |          0 |         66 |        137 |
| c:\FILES\CURVE\curve\docs\cn\nebd.md                                                                                  | Markdown         |         43 |          0 |         30 |         73 |
| c:\FILES\CURVE\curve\docs\cn\quality-integration-example.md                                                           | Markdown         |        529 |          0 |        147 |        676 |
| c:\FILES\CURVE\curve\docs\cn\quality.md                                                                               | Markdown         |         83 |          0 |         58 |        141 |
| c:\FILES\CURVE\curve\docs\cn\snapshotcloneserver.md                                                                   | Markdown         |         81 |          0 |         73 |        154 |
| c:\FILES\CURVE\curve\docs\cn\snapshotcloneserver_interface.md                                                         | Markdown         |        418 |          0 |        230 |        648 |
| c:\FILES\CURVE\curve\include\chunkserver\chunkserver_common.h                                                         | C++              |         72 |         43 |         18 |        133 |
| c:\FILES\CURVE\curve\include\client\libcurve.h                                                                        | C++              |        158 |        271 |         61 |        490 |
| c:\FILES\CURVE\curve\include\curve_compiler_specific.h                                                                | C++              |         22 |         22 |          8 |         52 |
| c:\FILES\CURVE\curve\include\etcdclient\etcdclient.h                                                                  | C++              |        153 |         39 |         60 |        252 |
| c:\FILES\CURVE\curve\mk-deb.sh                                                                                        | Shell Script     |        385 |         59 |         24 |        468 |
| c:\FILES\CURVE\curve\mk-tar.sh                                                                                        | Shell Script     |        377 |         38 |         22 |        437 |
| c:\FILES\CURVE\curve\monitor\README.md                                                                                | Markdown         |         99 |          0 |         77 |        176 |
| c:\FILES\CURVE\curve\monitor\curve-monitor.sh                                                                         | Shell Script     |         50 |         20 |         15 |         85 |
| c:\FILES\CURVE\curve\monitor\grafana-report.py                                                                        | Python           |         91 |         25 |         20 |        136 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\chunkserver.json                                                      | JSON             |      7,836 |          0 |          0 |      7,836 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\client.json                                                           | JSON             |      2,449 |          0 |          0 |      2,449 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\etcd.json                                                             | JSON             |      2,518 |          0 |          0 |      2,518 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\mds.json                                                              | JSON             |      2,741 |          0 |          0 |      2,741 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\mysql.json                                                            | JSON             |      4,761 |          0 |          1 |      4,762 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\report.json                                                           | JSON             |      3,742 |          0 |          0 |      3,742 |
| c:\FILES\CURVE\curve\monitor\grafana\dashboards\snapshotcloneserver.json                                              | JSON             |      1,055 |          0 |          0 |      1,055 |
| c:\FILES\CURVE\curve\monitor\grafana\provisioning\dashboards\all.yml                                                  | YAML             |          6 |         17 |          2 |         25 |
| c:\FILES\CURVE\curve\monitor\grafana\provisioning\datasources\all.yml                                                 | YAML             |          9 |         17 |          2 |         28 |
| c:\FILES\CURVE\curve\monitor\target_json.py                                                                           | Python           |         99 |         29 |         20 |        148 |
| c:\FILES\CURVE\curve\monitor\update_dashboard.sh                                                                      | Shell Script     |         50 |         47 |         21 |        118 |
| c:\FILES\CURVE\curve\nbd\README.md                                                                                    | Markdown         |         61 |          0 |         25 |         86 |
| c:\FILES\CURVE\curve\nbd\src\ImageInstance.cpp                                                                        | C++              |         45 |         22 |         16 |         83 |
| c:\FILES\CURVE\curve\nbd\src\ImageInstance.h                                                                          | C++              |         27 |         54 |         19 |        100 |
| c:\FILES\CURVE\curve\nbd\src\NBDController.cpp                                                                        | C++              |        358 |         36 |         70 |        464 |
| c:\FILES\CURVE\curve\nbd\src\NBDController.h                                                                          | C++              |        100 |         61 |         25 |        186 |
| c:\FILES\CURVE\curve\nbd\src\NBDServer.cpp                                                                            | C++              |        235 |         37 |         66 |        338 |
| c:\FILES\CURVE\curve\nbd\src\NBDServer.h                                                                              | C++              |         79 |         89 |         37 |        205 |
| c:\FILES\CURVE\curve\nbd\src\NBDTool.cpp                                                                              | C++              |        103 |         30 |         22 |        155 |
| c:\FILES\CURVE\curve\nbd\src\NBDTool.h                                                                                | C++              |         73 |         30 |         18 |        121 |
| c:\FILES\CURVE\curve\nbd\src\NBDWatchContext.cpp                                                                      | C++              |         32 |         22 |         10 |         64 |
| c:\FILES\CURVE\curve\nbd\src\NBDWatchContext.h                                                                        | C++              |         36 |         35 |         18 |         89 |
| c:\FILES\CURVE\curve\nbd\src\SafeIO.cpp                                                                               | C++              |         16 |         22 |          9 |         47 |
| c:\FILES\CURVE\curve\nbd\src\SafeIO.h                                                                                 | C++              |         17 |         22 |          9 |         48 |
| c:\FILES\CURVE\curve\nbd\src\argparse.cpp                                                                             | C++              |        259 |         27 |         32 |        318 |
| c:\FILES\CURVE\curve\nbd\src\argparse.h                                                                               | C++              |         21 |         52 |          8 |         81 |
| c:\FILES\CURVE\curve\nbd\src\define.h                                                                                 | C++              |         40 |         45 |         13 |         98 |
| c:\FILES\CURVE\curve\nbd\src\main.cpp                                                                                 | C++              |        164 |         25 |         36 |        225 |
| c:\FILES\CURVE\curve\nbd\src\nbd-netlink.h                                                                            | C++              |         37 |         27 |          7 |         71 |
| c:\FILES\CURVE\curve\nbd\src\texttable.cpp                                                                            | C++              |         58 |         40 |         12 |        110 |
| c:\FILES\CURVE\curve\nbd\src\texttable.h                                                                              | C++              |         62 |         93 |         32 |        187 |
| c:\FILES\CURVE\curve\nbd\src\util.cpp                                                                                 | C++              |        395 |         43 |         63 |        501 |
| c:\FILES\CURVE\curve\nbd\src\util.h                                                                                   | C++              |         42 |         33 |         12 |         87 |
| c:\FILES\CURVE\curve\nbd\test\fake_safe_io.h                                                                          | C++              |         35 |         22 |         15 |         72 |
| c:\FILES\CURVE\curve\nbd\test\main.cpp                                                                                | C++              |          8 |         22 |          4 |         34 |
| c:\FILES\CURVE\curve\nbd\test\mock_image_instance.h                                                                   | C++              |         21 |         22 |          9 |         52 |
| c:\FILES\CURVE\curve\nbd\test\mock_nbd_controller.h                                                                   | C++              |         18 |         22 |          9 |         49 |
| c:\FILES\CURVE\curve\nbd\test\mock_safe_io.h                                                                          | C++              |         17 |         22 |         10 |         49 |
| c:\FILES\CURVE\curve\nbd\test\nbd_server_test.cpp                                                                     | C++              |        203 |         22 |         76 |        301 |
| c:\FILES\CURVE\curve\nbd\test\nbd_tool_test.cpp                                                                       | C++              |        146 |         24 |         21 |        191 |
| c:\FILES\CURVE\curve\nbd\test\nbd_watch_context_test.cpp                                                              | C++              |         53 |         22 |         20 |         95 |
| c:\FILES\CURVE\curve\nbd\test\test_argparse.cpp                                                                       | C++              |        106 |         22 |         19 |        147 |
| c:\FILES\CURVE\curve\nebd\etc\nebd\nebd-client.conf                                                                   | Properties       |         11 |         11 |          5 |         27 |
| c:\FILES\CURVE\curve\nebd\etc\nebd\nebd-server.conf                                                                   | Properties       |          5 |          5 |          5 |         15 |
| c:\FILES\CURVE\curve\nebd\proto\client.proto                                                                          | Protocol Buffers |        109 |          0 |         20 |        129 |
| c:\FILES\CURVE\curve\nebd\proto\heartbeat.proto                                                                       | Protocol Buffers |         34 |          0 |          8 |         42 |
| c:\FILES\CURVE\curve\nebd\proto\nebd-common.proto                                                                     | Protocol Buffers |         22 |          0 |          3 |         25 |
| c:\FILES\CURVE\curve\nebd\src\common\configuration.cpp                                                                | C++              |        176 |         24 |         43 |        243 |
| c:\FILES\CURVE\curve\nebd\src\common\configuration.h                                                                  | C++              |         44 |         60 |         17 |        121 |
| c:\FILES\CURVE\curve\nebd\src\common\crc32.h                                                                          | C++              |         16 |         35 |         10 |         61 |
| c:\FILES\CURVE\curve\nebd\src\common\file_lock.cpp                                                                    | C++              |         38 |         20 |         12 |         70 |
| c:\FILES\CURVE\curve\nebd\src\common\file_lock.h                                                                      | C++              |         20 |         30 |         13 |         63 |
| c:\FILES\CURVE\curve\nebd\src\common\interrupt_sleep.h                                                                | C++              |         28 |         21 |          9 |         58 |
| c:\FILES\CURVE\curve\nebd\src\common\name_lock.cpp                                                                    | C++              |         73 |         20 |         17 |        110 |
| c:\FILES\CURVE\curve\nebd\src\common\name_lock.h                                                                      | C++              |         49 |         38 |         22 |        109 |
| c:\FILES\CURVE\curve\nebd\src\common\nebd_version.cpp                                                                 | C++              |         25 |         21 |          8 |         54 |
| c:\FILES\CURVE\curve\nebd\src\common\nebd_version.h                                                                   | C++              |         10 |         20 |          8 |         38 |
| c:\FILES\CURVE\curve\nebd\src\common\posix_wrapper.cpp                                                                | C++              |         23 |         20 |         10 |         53 |
| c:\FILES\CURVE\curve\nebd\src\common\posix_wrapper.h                                                                  | C++              |         25 |         20 |          5 |         50 |
| c:\FILES\CURVE\curve\nebd\src\common\rw_lock.h                                                                        | C++              |        100 |         22 |         31 |        153 |
| c:\FILES\CURVE\curve\nebd\src\common\stringstatus.cpp                                                                 | C++              |         37 |         20 |         10 |         67 |
| c:\FILES\CURVE\curve\nebd\src\common\stringstatus.h                                                                   | C++              |         21 |         45 |         12 |         78 |
| c:\FILES\CURVE\curve\nebd\src\common\timeutility.h                                                                    | C++              |         38 |         21 |         11 |         70 |
| c:\FILES\CURVE\curve\nebd\src\common\uncopyable.h                                                                     | C++              |         15 |         20 |          8 |         43 |
| c:\FILES\CURVE\curve\nebd\src\part1\async_request_closure.cpp                                                         | C++              |         78 |         23 |         15 |        116 |
| c:\FILES\CURVE\curve\nebd\src\part1\async_request_closure.h                                                           | C++              |         92 |         23 |         30 |        145 |
| c:\FILES\CURVE\curve\nebd\src\part1\heartbeat_manager.cpp                                                             | C++              |         83 |         20 |         28 |        131 |
| c:\FILES\CURVE\curve\nebd\src\part1\heartbeat_manager.h                                                               | C++              |         37 |         41 |         21 |         99 |
| c:\FILES\CURVE\curve\nebd\src\part1\libnebd.cpp                                                                       | C++              |         63 |         23 |         24 |        110 |
| c:\FILES\CURVE\curve\nebd\src\part1\libnebd.h                                                                         | C++              |         50 |        110 |         27 |        187 |
| c:\FILES\CURVE\curve\nebd\src\part1\libnebd_file.cpp                                                                  | C++              |         41 |         20 |         16 |         77 |
| c:\FILES\CURVE\curve\nebd\src\part1\libnebd_file.h                                                                    | C++              |         16 |         85 |          6 |        107 |
| c:\FILES\CURVE\curve\nebd\src\part1\nebd_client.cpp                                                                   | C++              |        445 |         29 |         95 |        569 |
| c:\FILES\CURVE\curve\nebd\src\part1\nebd_client.h                                                                     | C++              |         55 |         93 |         34 |        182 |
| c:\FILES\CURVE\curve\nebd\src\part1\nebd_common.h                                                                     | C++              |         26 |         38 |          9 |         73 |
| c:\FILES\CURVE\curve\nebd\src\part1\nebd_metacache.cpp                                                                | C++              |         34 |         20 |         13 |         67 |
| c:\FILES\CURVE\curve\nebd\src\part1\nebd_metacache.h                                                                  | C++              |         37 |         42 |         18 |         97 |
| c:\FILES\CURVE\curve\nebd\src\part2\define.h                                                                          | C++              |         69 |         38 |         20 |        127 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_entity.cpp                                                                   | C++              |        297 |         27 |         38 |        362 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_entity.h                                                                     | C++              |        105 |        102 |         26 |        233 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_manager.cpp                                                                  | C++              |        218 |         23 |         30 |        271 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_manager.h                                                                    | C++              |         59 |        102 |         16 |        177 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_service.cpp                                                                  | C++              |        292 |         20 |         29 |        341 |
| c:\FILES\CURVE\curve\nebd\src\part2\file_service.h                                                                    | C++              |         59 |         20 |         21 |        100 |
| c:\FILES\CURVE\curve\nebd\src\part2\heartbeat_manager.cpp                                                             | C++              |        107 |         21 |         16 |        144 |
| c:\FILES\CURVE\curve\nebd\src\part2\heartbeat_manager.h                                                               | C++              |         76 |         44 |         16 |        136 |
| c:\FILES\CURVE\curve\nebd\src\part2\heartbeat_service.cpp                                                             | C++              |         33 |         20 |          8 |         61 |
| c:\FILES\CURVE\curve\nebd\src\part2\heartbeat_service.h                                                               | C++              |         25 |         20 |         10 |         55 |
| c:\FILES\CURVE\curve\nebd\src\part2\main.cpp                                                                          | C++              |         20 |         23 |          8 |         51 |
| c:\FILES\CURVE\curve\nebd\src\part2\metafile_manager.cpp                                                              | C++              |        206 |         30 |         30 |        266 |
| c:\FILES\CURVE\curve\nebd\src\part2\metafile_manager.h                                                                | C++              |         62 |         32 |         19 |        113 |
| c:\FILES\CURVE\curve\nebd\src\part2\nebd_server.cpp                                                                   | C++              |        194 |         24 |         38 |        256 |
| c:\FILES\CURVE\curve\nebd\src\part2\nebd_server.h                                                                     | C++              |         42 |         57 |         21 |        120 |
| c:\FILES\CURVE\curve\nebd\src\part2\request_executor.cpp                                                              | C++              |         34 |         20 |          8 |         62 |
| c:\FILES\CURVE\curve\nebd\src\part2\request_executor.h                                                                | C++              |         47 |         25 |         15 |         87 |
| c:\FILES\CURVE\curve\nebd\src\part2\request_executor_curve.cpp                                                        | C++              |        215 |         20 |         54 |        289 |
| c:\FILES\CURVE\curve\nebd\src\part2\request_executor_curve.h                                                          | C++              |         59 |         53 |         19 |        131 |
| c:\FILES\CURVE\curve\nebd\src\part2\util.cpp                                                                          | C++              |         79 |         20 |         14 |        113 |
| c:\FILES\CURVE\curve\nebd\src\part2\util.h                                                                            | C++              |         28 |         22 |         16 |         66 |
| c:\FILES\CURVE\curve\nebd\test\common\configuration_test.cpp                                                          | C++              |        217 |         27 |         67 |        311 |
| c:\FILES\CURVE\curve\nebd\test\common\crc32_test.cpp                                                                  | C++              |         61 |         21 |         15 |         97 |
| c:\FILES\CURVE\curve\nebd\test\common\interruptible_sleeper_test.cpp                                                  | C++              |         32 |         20 |          8 |         60 |
| c:\FILES\CURVE\curve\nebd\test\common\posix_wrapper_test.cpp                                                          | C++              |         18 |         20 |          7 |         45 |
| c:\FILES\CURVE\curve\nebd\test\common\rw_lock_test.cpp                                                                | C++              |        140 |         22 |         11 |        173 |
| c:\FILES\CURVE\curve\nebd\test\common\stringstatus_test.cpp                                                           | C++              |         20 |         20 |          8 |         48 |
| c:\FILES\CURVE\curve\nebd\test\common\test_name_lock.cpp                                                              | C++              |         59 |         30 |         18 |        107 |
| c:\FILES\CURVE\curve\nebd\test\part1\fake_file_service.cpp                                                            | C++              |        121 |         23 |         41 |        185 |
| c:\FILES\CURVE\curve\nebd\test\part1\fake_file_service.h                                                              | C++              |         54 |         20 |         17 |         91 |
| c:\FILES\CURVE\curve\nebd\test\part1\fake_heartbeat_service.h                                                         | C++              |         41 |         20 |         16 |         77 |
| c:\FILES\CURVE\curve\nebd\test\part1\heartbeat_manager_unittest.cpp                                                   | C++              |        110 |         26 |         37 |        173 |
| c:\FILES\CURVE\curve\nebd\test\part1\mock_file_service.h                                                              | C++              |         53 |         20 |          8 |         81 |
| c:\FILES\CURVE\curve\nebd\test\part1\mock_heartbeat_service.h                                                         | C++              |         18 |         20 |          8 |         46 |
| c:\FILES\CURVE\curve\nebd\test\part1\nebd_client_unittest.cpp                                                         | C++              |        484 |         24 |         95 |        603 |
| c:\FILES\CURVE\curve\nebd\test\part1\nebd_lib_unittest.cpp                                                            | C++              |        153 |         20 |         36 |        209 |
| c:\FILES\CURVE\curve\nebd\test\part1\nebd_metacache_unittest.cpp                                                      | C++              |         57 |         20 |         20 |         97 |
| c:\FILES\CURVE\curve\nebd\test\part2\file_manager_unittest.cpp                                                        | C++              |        445 |         47 |         56 |        548 |
| c:\FILES\CURVE\curve\nebd\test\part2\file_service_unittest.cpp                                                        | C++              |        384 |         47 |         44 |        475 |
| c:\FILES\CURVE\curve\nebd\test\part2\heartbeat_manager_unittest.cpp                                                   | C++              |         98 |         25 |         20 |        143 |
| c:\FILES\CURVE\curve\nebd\test\part2\heartbeat_service_test.cpp                                                       | C++              |         63 |         24 |         13 |        100 |
| c:\FILES\CURVE\curve\nebd\test\part2\metafile_manager_test.cpp                                                        | C++              |        205 |         42 |         34 |        281 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_curve_client.h                                                              | C++              |         25 |         20 |          7 |         52 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_file_entity.h                                                               | C++              |         31 |         20 |         10 |         61 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_file_manager.h                                                              | C++              |         29 |         20 |         10 |         59 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_heartbeat_manager.h                                                         | C++              |         17 |         20 |          7 |         44 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_metafile_manager.h                                                          | C++              |         20 |         20 |         10 |         50 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_posix_wrapper.h                                                             | C++              |         18 |         20 |          8 |         46 |
| c:\FILES\CURVE\curve\nebd\test\part2\mock_request_executor.h                                                          | C++              |         33 |         20 |         11 |         64 |
| c:\FILES\CURVE\curve\nebd\test\part2\test_nebd_server.cpp                                                             | C++              |         57 |         33 |         22 |        112 |
| c:\FILES\CURVE\curve\nebd\test\part2\test_request_executor_curve.cpp                                                  | C++              |        342 |         50 |         65 |        457 |
| c:\FILES\CURVE\curve\nebd\test\utils\config_generator.h                                                               | C++              |         46 |         21 |         17 |         84 |
| c:\FILES\CURVE\curve\proto\chunk.proto                                                                                | Protocol Buffers |        124 |          0 |         21 |        145 |
| c:\FILES\CURVE\curve\proto\chunkserver.proto                                                                          | Protocol Buffers |         32 |          0 |          6 |         38 |
| c:\FILES\CURVE\curve\proto\cli.proto                                                                                  | Protocol Buffers |         93 |          0 |         18 |        111 |
| c:\FILES\CURVE\curve\proto\cli2.proto                                                                                 | Protocol Buffers |         83 |          0 |         18 |        101 |
| c:\FILES\CURVE\curve\proto\common.proto                                                                               | Protocol Buffers |         26 |          0 |          5 |         31 |
| c:\FILES\CURVE\curve\proto\configuration.proto                                                                        | Protocol Buffers |         36 |          0 |          6 |         42 |
